"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Current consolidated version","Latest consolidated version","Procedure status","LP_Legal basis","Cellar reference","ELI","Date created","Latest modification of notice","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Subject matter, 1st level","Subject matter, 2nd level","Subject matter, 3rd level","Subject matter, 4th level","Directory code","Directory code, 1st level","Directory code, 2nd level","Directory code, 3rd level","Directory code, 4th level","Directory code, 5th level","Directory code, 6th level","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Treaty","Legal basis","Consolidation: basic act","Instruments cited","Related document(s)","Instruments involved","Modifies","Case affecting","Earlier related instruments","Transposed legal act(s)","Modified by","Rectified by","Subsequent related instruments","Affected by case","Observations","National court","Comments","Internal comment","Additional information","Notes relating to the decision","Collection of the document","Date of document","Date of publication","Author","Document sector","Document year","Document type","Document number","Document corrigendum","Date of effect","Date of end of validity","Date of transposition","In force indicator","Entry in the directory","Number of pages","Publication Reference",
"2014/828/EU: Decision of the European Central Bank of 15 October 2014 on the implementation of the third covered bond purchase programme (ECB/2014/40)","","32014D0040(01)","","","","","","2018-02-01",,"","24307d1f-7213-11e4-b593-01aa75ed71a1","http://data.europa.eu/eli/dec/2014/828/oj","2014-11-22","200720/07/2022 06:08:122022","Decision","single monetary policy, Eurobond, central bank, euro area, EU programme","","Economic and Monetary Union, European Central Bank (ECB), European Central Bank (ECB), Monetary policy and Operations, Monetary policy instruments, Temporary framework","Economic and Monetary Union, European Central Bank (ECB), European Central Bank (ECB)","Monetary policy and Operations","Monetary policy instruments","Temporary framework","Economic and monetary policy and free movement of capital, General, financial and institutional matters, Monetary policy, Provisions governing the institutions, Institutional monetary provisions, European Central Bank","Economic and monetary policy and free movement of capital, General, financial and institutional matters","Monetary policy, Provisions governing the institutions","Institutional monetary provisions, European Central Bank","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32011D0017(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32011O0014, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014O0031, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009D0016(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0034","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017D0014(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017D0037(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0040(01)R(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D0187","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2014-10-15","2014-11-22","European Central Bank","3","2014","D","0040","","2014-10-16","2020-02-15","","false","REP","3","OJ L 335, 22/11/2014, p. 22–24
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/781/EU: Decision of the European Central Bank of 21 October 2014 on transitional provisions for the application of minimum reserves by the European Central Bank following the introduction of the euro in Lithuania (ECB/2014/42)","","32014D0042(01)","","","","","","",,"","b6e8d99f-6a3d-11e4-9a37-01aa75ed71a1","http://data.europa.eu/eli/dec/2014/781/oj","2014-11-12","090809/08/2022 12:14:122022","Decision","branch, reserves, participating country, euro, Lithuania, credit institution, transitional period (EU), monetary integration","","European Central Bank (ECB), Economic and Monetary Union, Euro, Monetary policy and Operations, Minimum reserves","European Central Bank (ECB), Economic and Monetary Union, Euro","Monetary policy and Operations","Minimum reserves","","Economic and monetary policy and free movement of capital, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital","Economic policy","Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2533, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2532, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1071, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2531, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003R1745","","","","","","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2014-10-21","2014-11-12","European Central Bank","3","2014","D","0042","","2014-11-01","No end date","","true","REP","3","OJ L 327, 12/11/2014, p. 6–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Order of the General Court (First Chamber) of 16 October 2014. # Marinos Nikolaou v European Commission and European Central Bank (ECB). # Case T-331/13.","","62013TO0331","","","","","","",,"","93858703-6509-11e4-9cbe-01aa75ed71a1","","2014-11-05","101210/12/2023 00:36:182023","Order","","ECLI:EU:T:2014:905","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","Internal policy of the European Union, Internal policy of the European Union, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, Actions for annulment, Actions for annulment, Monetary policy, Monetary policy, Acts which may be the subject of an action for annulment, General","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61989TJ0162, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62012CJ0370, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0022, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CO0224, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006TO0173, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008TO0196, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E137, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61994CJ0068, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61990CO0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002TO0130, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0210, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61981CJ0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E/PRO/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0301, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31991Q0530","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CN0109, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0105","","","","","POURVOI C-109/15 P","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2014-10-16","","General Court","6","2013","TO","0331","","","","","","","","",
"Order of the General Court (First Chamber) of 16 October 2014. # Chrysanthi Christodoulou and Maria Stavrinou v European Commission and European Central Bank (ECB). # Case T-332/13.","","62013TO0332","","","","","","",,"","a9936e95-6509-11e4-9cbe-01aa75ed71a1","","2014-11-05","091209/12/2023 10:23:512023","Order","","ECLI:EU:T:2014:910","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","Internal policy of the European Union, Internal policy of the European Union, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, Actions for annulment, Actions for annulment, Monetary policy, Monetary policy, Acts which may be the subject of an action for annulment, General","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62012CJ0370, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61989TJ0162, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0022, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CO0224, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006TO0173, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E137, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008TO0196, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61994CJ0068, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61990CO0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002TO0130, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0210, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61981CJ0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E/PRO/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0301, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31991Q0530","","","","","","","","","","","","","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2014-10-16","","General Court","6","2013","TO","0332","","","","","","","","",
"Order of the General Court (First Chamber) of 16 October 2014. # Lella Chatziioannou v European Commission and European Central Bank (ECB). # Case T-330/13.","","62013TO0330","","","","","","",,"","bea060e6-6509-11e4-9cbe-01aa75ed71a1","","2014-11-05","091209/12/2023 05:41:512023","Order","","ECLI:EU:T:2014:904","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","Internal policy of the European Union, Internal policy of the European Union, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, Actions for annulment, Actions for annulment, Monetary policy, Monetary policy, Acts which may be the subject of an action for annulment, General","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0301, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31991Q0530, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E/PRO/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0210, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61981CJ0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61994CJ0068, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61990CO0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002TO0130, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E137, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008TO0196, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0022, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CO0224, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006TO0173, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62012CJ0370, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61989TJ0162","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CN0108, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0105","","","","","POURVOI C-108/15 P","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2014-10-16","","General Court","6","2013","TO","0330","","","","","","","","",
"Order of the General Court (First Chamber) of 16 October 2014. # Tameio Pronoias Prosopikou Trapezis Kyprou v European Commission and European Central Bank (ECB). # Case T-328/13.","","62013TO0328","","","","","","",,"","7a1d02c2-6509-11e4-9cbe-01aa75ed71a1","","2014-11-05","091209/12/2023 04:36:512023","Order","","ECLI:EU:T:2014:906","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","Internal policy of the European Union, Internal policy of the European Union, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, Actions for annulment, Actions for annulment, Monetary policy, Monetary policy, Acts which may be the subject of an action for annulment, General","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61990CO0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61994CJ0068, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002TO0130, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0210, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61981CJ0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E/PRO/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0301, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31991Q0530, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62012CJ0370, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61989TJ0162, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0022, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006TO0173, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CO0224, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E137, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008TO0196","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CN0106, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0105","","","","","POURVOI C-106/15 P","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2014-10-16","","General Court","6","2013","TO","0328","","","","","","","","",
"Order of the General Court (First Chamber) of 16 October 2014. # Petros Chatzithoma and Ellenitsa Chatzithoma v European Commission and European Central Bank (ECB). # Case T-329/13.","","62013TO0329","","","","","","",,"","d4e732c7-6509-11e4-9cbe-01aa75ed71a1","","2014-11-05","091209/12/2023 03:09:062023","Order","","ECLI:EU:T:2014:908","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","Internal policy of the European Union, Internal policy of the European Union, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, Actions for annulment, Actions for annulment, Monetary policy, Monetary policy, Acts which may be the subject of an action for annulment, General","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0210, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61981CJ0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61990CO0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61994CJ0068, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002TO0130, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0301, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31991Q0530, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E/PRO/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0022, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006TO0173, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CO0224, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61989TJ0162, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62012CJ0370, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008TO0196, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E137","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CN0107, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0105","","","","","POURVOI C-107/15 P","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2014-10-16","","General Court","6","2013","TO","0329","","","","","","","","",
"Regulation (EU) No 1163/2014 of the European Central Bank of 22 October 2014 on supervisory fees (ECB/2014/41)","","32014R1163","","","","","2020-01-01","2020-01-01",,"","cdd39d59-60cc-11e4-9cbe-01aa75ed71a1","http://data.europa.eu/eli/reg/2014/1163/oj","2014-10-31","150815/08/2022 11:37:152022","Regulation","excise duty, management audit, auditing, bank charges, costing, financial intervention","","Freedom of establishment, European Central Bank (ECB), Banking supervision, Supervisory fees","Freedom of establishment, European Central Bank (ECB)","Banking supervision","Supervisory fees","","Right of establishment and freedom to provide services, Sectoral application, Service activities, Banks","Right of establishment and freedom to provide services","Sectoral application","Service activities","Banks","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0468, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013L0036, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2532, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0575","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019R2155, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R1163R(01)","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2014-10-22","2014-10-31","European Central Bank","3","2014","R","1163","","2014-11-05","No end date","","true","REP","9","OJ L 311, 31/10/2014, p. 23–31
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Order of the General Court (First Chamber), 16 October 2014.#Konstantinos Mallis and Elli Konstantinou Malli v European Commission and European Central Bank (ECB).#Actions for annulment — Programme of stability support for Cyprus — Euro Group statement on the restructuring of the banking sector in Cyprus — Mistaken designation of defendant in the application — Inadmissibility.#Case T‑327/13.","","62013TO0327","","","","","","",,"","d93d939e-5dc1-11e4-9cbe-01aa75ed71a1","","2014-10-27","091209/12/2023 00:35:572023","Order","","ECLI:EU:T:2014:909","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","Internal policy of the European Union, Internal policy of the European Union, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, Actions for annulment, Actions for annulment, Monetary policy, Monetary policy, Acts which may be the subject of an action for annulment, General","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61990CO0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61994CJ0068, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002TO0130, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0210, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61981CJ0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E/PRO/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0301, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31991Q0530, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61989TJ0162, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62012CJ0370, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007TO0022, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006TO0173, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CO0224, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008TO0196, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E137","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CN0105, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0105","","","","","POURVOI C-105/15 P","1. Simon, Denys: Déclaration de l'Eurogroupe, Europe 2014 Décembre Comm. nº 12 p.18-19 (FR)","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2014-10-16","","General Court","6","2013","TO","0327","","","","","","","","Court reports – general",
"2014/723/EU: Decision of the European Central Bank of 17 September 2014 on the implementation of separation between the monetary policy and supervision functions of the European Central Bank (ECB/2014/39)","","32014D0039(01)","","","","","","",,"","4229f512-5691-11e4-a0cb-01aa75ed71a1","http://data.europa.eu/eli/dec/2014/723/oj","2014-10-18","230723/07/2022 08:47:582022","Decision","exchange of information, confidentiality, operation of the Institutions, European Central Bank, professional secret, financial control, monetary policy","","European Central Bank (ECB), European Central Bank (ECB), Banking supervision, Organisational principles","European Central Bank (ECB), European Central Bank (ECB)","Banking supervision","Organisational principles","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0001(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013L0036, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0680, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2533, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0673, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013Q1130(01)","","","","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2014-09-17","2014-10-18","European Central Bank","3","2014","D","0039","","2014-10-18","No end date","","true","REP","7","OJ L 300, 18/10/2014, p. 57–62
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/671/EU: Decision of the European Central Bank of 1 September 2014 amending Decision ECB/2013/35 on additional measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2014/38)","","32014D0038(01)","","","","","","",,"","618b6c11-4091-11e4-88a1-01aa75ed71a1","http://data.europa.eu/eli/dec/2014/671/oj","2014-09-20","260726/07/2022 09:39:532022","Decision","credit guarantee, EU financing arrangements, central bank, financial control, credit control, euro area, financial analysis","","Economic policy, European Central Bank (ECB), Economic and Monetary Union, Monetary policy and Operations, Monetary policy instruments, General framework","Economic policy, European Central Bank (ECB), Economic and Monetary Union","Monetary policy and Operations","Monetary policy instruments","General framework","Economic and monetary policy and free movement of capital, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital","Economic policy","Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32011O0014, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013D0006(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E127","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0328","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013D0035","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015D0009","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2014-09-01","2014-09-20","European Central Bank","3","2014","D","0038","","2014-12-15, 2014-09-19","2015-04-30","","false","LIE","3","OJ L 278, 20/09/2014, p. 21–23
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/647/EU: Guideline of the European Central Bank of 3 June 2014 amending Guideline ECB/2013/23 on government finance statistics (ECB/2014/21)","","32014O0021","","","","","","",,"","f067bfff-35a3-11e4-8c3c-01aa75ed71a1","http://data.europa.eu/eli/guideline/2014/647/oj","2014-09-06","281228/12/2022 11:17:102022","Guideline","European System of Central Banks, disclosure of information, public debt, central bank, public finance, budget deficit, financial statistics","","European Central Bank (ECB), European Central Bank (ECB), Statistics, Financial accounts","European Central Bank (ECB), European Central Bank (ECB)","Statistics","Financial accounts","","General, financial and institutional matters, Provisions governing the institutions, European System of Central Banks","General, financial and institutional matters","Provisions governing the institutions","European System of Central Banks","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009R0479, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0549, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E/PRO/04","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013O0023","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2014-06-03","2014-09-06","European Central Bank","3","2014","O","0021","","2014-09-06, 2014-09-01","No end date","","true","LIE","18","OJ L 267, 06/09/2014, p. 9–26
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
